+--------------------------------------------------------------------------------------------------+--------+-----------------+
|                                         Nombre artículo                                          |  $$$   |     Almacen     |
|                                       Manzana Granny (Kg)                                        |  114   | Tienda Inglesa  |
|                                        Manzana Granny 1Kg                                        |  74    | Tienda Inglesa  |
|                                   Manzana Granny Envasada 800g                                   |  119   | Tienda Inglesa  |
|                                  Manzana Granny Malla x 1,5 kg                                   |  112   |     Devoto      |
|                                  Manzana Granny Malla x 1,5 kg                                   |  112   |      Disco      |
|                                    Manzana Granny Pet 900 grs                                    |  108   | Tienda Inglesa  |
|                               Manzana Granny Smith aprox. x 200 g                                |  17    |     Devoto      |
|                               Manzana Granny Smith aprox. x 200 g                                |  17    |      Disco      |
|                               Manzana Granny Smith aprox. x 200 g                                |  20    |     Devoto      |
|                               Manzana Granny Smith aprox. x 200 g                                |  20    |      Disco      |
|                                   Manzana Granny malla premium                                   |  75    |     Devoto      |
|                                    Manzana Red Deliciosa (Kg)                                    |  129   | Tienda Inglesa  |
|                                  Manzana Red Deliciosa 1.00 Kg                                   |  105   |      Tata       |
|                               Manzana Red Delicious aprox. x 200 g                               |  24    |      Disco      |
|                             Manzana Red Delicious malla apro x 2 kg                              |  200   |     Devoto      |
|                                Manzana red importada un. x 100 g                                 |  16    |     Devoto      |
|                                Manzana red importada un. x 100 g                                 |  16    |      Disco      |
|                                      Maní Garrapiñado 150 g                                      |  85    |     Devoto      |
|                                Maní Repelado Tostado Salado 1 kg                                 |  199   |     Devoto      |
|                                Maní Repelado Tostado Salado 1 kg                                 |  199   |      Disco      |
|                                Maní Repelado Tostado Salado 150 g                                |  60    |      Disco      |
|                               Maní Repelado Tostado Sin Sal 150 g                                |  60    |      Disco      |
|                                Maní Repelado Tostado sin sal 1 kg                                |  199   |     Devoto      |
|                                Maní Repelado Tostado sin sal 1 kg                                |  199   |      Disco      |
|                                   Maní con miel PLANTERS 340 g                                   |  266   |      Disco      |
|                                    Maní con miel ÜLTJE 150 g                                     |  124   |     Devoto      |
|                                    Maní con miel ÜLTJE 150 g                                     |  124   |      Disco      |
|                                     Maní con sal MANOLO 70 g                                     |  54    |      Disco      |
|                                  Maní con sal jumbo ÜLTJE 200 g                                  |  112   |     Devoto      |
|                                  Maní con sal jumbo ÜLTJE 200 g                                  |  112   |      Disco      |
|                                     Maní con sal ÜLTJE 500 g                                     |  229   |     Devoto      |
|                                     Maní con sal ÜLTJE 500 g                                     |  229   |      Disco      |
|                             Maní frito y salado LA ABUNDANCIA 400 g                              |  144   |     Devoto      |
|                             Maní frito y salado LA ABUNDANCIA 400 g                              |  144   |      Disco      |
|                               Maní garrapiñado con Miel pt. 150 g                                |  55    |     Devoto      |
|                             Maní japonés mendorato SANTA HELENA 70 g                             |  25    |      Disco      |
|                                      Maní pelado MANIX 50 g                                      |  25    |     Devoto      |
|                                      Maní pelado MANIX 50 g                                      |  25    |      Disco      |
|                         Maní pelado tostado y salado LA ABUNDANCIA 150 g                         |  68    |     Devoto      |
|                         Maní pelado tostado y salado LA ABUNDANCIA 150 g                         |  68    |      Disco      |
|                                Maní repelado tostado salado 250 g                                |  90    |      Disco      |
|                               Maní repelado tostado sin sal 250 g                                |  90    |      Disco      |
|                              Maní salado Amindus SANTA HELENA 200 g                              |  60    |     Devoto      |
|                              Maní salado Amindus SANTA HELENA 200 g                              |  60    |      Disco      |
|                                     Maní salado MANOLO 180 g                                     |  104   |     Devoto      |
|                                     Maní salado MANOLO 180 g                                     |  104   |      Disco      |
|                             Maní sin sal Amindus SANTA HELENA 100 g                              |  42    |     Devoto      |
|                             Maní sin sal Amindus SANTA HELENA 100 g                              |  42    |      Disco      |
|                                         Maní ÜLTJE 200 g                                         |  158   |     Devoto      |
|                                         Maní ÜLTJE 200 g                                         |  158   |      Disco      |
|                                    Maníes sin sal ÜLTJE 200 g                                    |  112   |     Devoto      |
|                                    Maníes sin sal ÜLTJE 200 g                                    |  112   |      Disco      |
|                              Maíz Cocido Orgánico HUERCASA 400 grs                               |  183   | Tienda Inglesa  |
|                               Maíz Pelado y Cocido HUERCASA x 2/3                                |  134   | Tienda Inglesa  |
|                                   Melon escrito apro x 1,5 kg                                    |  120   |     Devoto      |
|                                   Melon escrito apro x 1,5 kg                                    |  120   |      Disco      |
|                                        Melón Escrito (Kg)                                        |  98    | Tienda Inglesa  |
|                                   Melón Mixto en Cubos 200 gr                                    |  124   | Tienda Inglesa  |
|                                  Melón Valenciano apro x 1,5 kg                                  |  180   |     Devoto      |
|                                  Melón Valenciano apro x 1,5 kg                                  |  180   |      Disco      |
|                                       Melón caribbean (kg)                                       |  108   | Tienda Inglesa  |
|                                   Melón escrito en cubos 200gr                                   |  124   | Tienda Inglesa  |
|                                       Menta 35 g El Fortín                                       |  50    |     Devoto      |
|                                                 Menta FINAS HIERBAS de Invernáculo 30g	                                                   |  69    | Tienda Inglesa  |
|                                       Menta Fresca 1.00 U                                        |  69    |      Tata       |
|                                     Menta Fresca Campo Claro                                     |  79    |      Tata       |
|                                    Menta Nuestra Quinta 30  g                                    |  55    |     Devoto      |
|                                        Menta Orgánica 50g                                        |  69    | Tienda Inglesa  |
|                                           Menta maceta                                           |  60    |     Devoto      |
|                                          Menta orgánica                                          |  35    |     Devoto      |
|                               Mezcla con Flores SALADFRESH 100 gr                                |  82    | Tienda Inglesa  |
|                Mezcla de Vegetales para Preparar Puchero GRANJA JUAN DELPINO 1 Kg                |  159   | Tienda Inglesa  |
|                                Mix Albahaca y Ciboulette Envasado                                |  60    |     Devoto      |
|                                Mix Albahaca y Ciboulette Envasado                                |  60    |      Disco      |
|                                       Mix Berries 250 grs                                        |  108   | Tienda Inglesa  |
|                                        Mix Berries 400 gr                                        |  258   | Tienda Inglesa  |
|                             Mix Chia, Lino Y Sésamo Integral  180 g                              |  109   |     Devoto      |
|                                      Mix De la Tierra 80 g                                       |  100   |     Devoto      |
|                                      Mix De la Tierra 80 g                                       |  100   |      Disco      |
|                              Mix Hojas de Lechuga con Salanova 100g                              |  88    | Tienda Inglesa  |
|                              Mix Hojas de Lechuga con Salanova 150g                              |  132   | Tienda Inglesa  |
|          Mix Verde Pronto para Consumir Mezcla de Lechuga y Rúcula GRANJA MALLORCA 100g          |  99    | Tienda Inglesa  |
|                              Mix chía, lino y sésamo integral 300 g                              |  165   |     Devoto      |
|                                 Mix con pasas De la Tierra 140 g                                 |  123   |     Devoto      |
|                                 Mix con pasas De la Tierra 140 g                                 |  123   |      Disco      |
|                                Mix de apio bolsa 200 g Don Quico                                 |  60    |     Devoto      |
|                                Mix de apio bolsa 200 g Don Quico                                 |  60    |      Disco      |
|                                     Mix de hojas BAKAR 200 g                                     |  100   |     Devoto      |
|                                  Mix de mizuna 200 g Don Quico                                   |  90    |      Disco      |
|                                  Mix frutos secos natural 150 g                                  |  199   |     Devoto      |
|                                  Mix frutos secos natural 150 g                                  |  199   |      Disco      |
|                                  Mix frutos secos natural 300 g                                  |  389   |     Devoto      |
|                                  Mix frutos secos natural 300 g                                  |  389   |      Disco      |
|                           Mix frutos secos natural y pasa morena 300 g                           |  299   |     Devoto      |
|                           Mix frutos secos natural y pasa morena 300 g                           |  299   |      Disco      |
|                            Mix frutos secos naturales con pasa 150 g                             |  169   |     Devoto      |
|                            Mix frutos secos naturales con pasa 150 g                             |  169   |      Disco      |
|                           Mix frutos secos salado y pasa morena 150 g                            |  119   |     Devoto      |
|                           Mix frutos secos salado y pasa morena 300 g                            |  215   |     Devoto      |
|                           Mix frutos secos salado y pasa morena 300 g                            |  215   |      Disco      |
|                                  Mix frutos secos sin sal 150 g                                  |  139   |     Devoto      |
|                                  Mix frutos secos sin sal 150 g                                  |  139   |      Disco      |
|                                  Mix frutos secos sin sal 300 g                                  |  239   |     Devoto      |
|                                  Mix frutos secos sin sal 300 g                                  |  239   |      Disco      |
|                           Mix frutos secos sin sal y pasa morena 150 g                           |  119   |     Devoto      |
|                           Mix frutos secos sin sal y pasa morena 150 g                           |  119   |      Disco      |
|                           Mix frutos secos sin sal y pasa morena 300 g                           |  199   |     Devoto      |
|                           Mix frutos secos sin sal y pasa morena 300 g                           |  199   |      Disco      |
|                                     Mix kale orgánico 200 g                                      |  80    |      Disco      |
|                                   Mizuna GRANJA SEFARAD  90 g                                    |  60    |     Devoto      |
|                                        Morron Rojo 500Gr                                         |  34    |      Tata       |
|                                        Morron Verde 500Gr                                        |  29    |      Tata       |
|                                   Morrón Amarillo Granel (Kg)                                    |  192   | Tienda Inglesa  |
|                             Morrón Amarillo especial aprox. x 200 g                              |  18    |     Devoto      |
|                             Morrón Amarillo especial aprox. x 200 g                              |  18    |      Disco      |
|                                        Morrón Mixto (Kg)                                         |  132   | Tienda Inglesa  |
|                                    Morrón Rojo Envasado (Kg)                                     |  102   | Tienda Inglesa  |
|                                     Morrón Rojo Granel (Kg)                                      |  92    | Tienda Inglesa  |
|                               Morrón Rojo especial aprox. x 200 g                                |  16    |     Devoto      |
|                               Morrón Rojo especial aprox. x 200 g                                |  16    |      Disco      |
|                                        Morrón Verde (Kg)                                         |  98    | Tienda Inglesa  |
|                              Morrón Verde Orgánico PUNTO VERDE (Kg)                              |  88    | Tienda Inglesa  |
|                                    Morrón Verde a Granel (Kg)                                    |  86    | Tienda Inglesa  |
|                               Morrón Verde especial aprox. x 200 g                               |  12    |     Devoto      |
|                               Morrón Verde especial aprox. x 200 g                               |  12    |      Disco      |
|                                     Morrón Violeta orgánico                                      |  179   | Tienda Inglesa  |
|                               Morrón rojo en aros Club Verde 250 g                               |  95    |     Devoto      |
|                              Morrón verde en aros Club Verde 250 g                               |  90    |     Devoto      |
|                                  Morrónes HIDALGO Tiras x 250 g                                  |  102   |      Disco      |
|                                 Mostaza orgánica 100 g Don Quico                                 |  60    |     Devoto      |
|                                             Nabo 2 U                                             |  19    |      Tata       |
|                                         Nabo Atado 2 un.                                         |  25    |     Devoto      |
|                                         Nabo Atado 2 un.                                         |  25    |      Disco      |
|                                    Nabo Orgánico x 2 Unidades                                    |  54    | Tienda Inglesa  |
|                                         Nabo por Unidad                                          |  16    | Tienda Inglesa  |
|                                           Naranja 1 Kg                                           |  45    |      Tata       |
|                                    Naranja VALENCIA Malla 2Kg                                    |  139   | Tienda Inglesa  |
|                                      Naranja Valencia (Kg)                                       |  72    | Tienda Inglesa  |
|                                 Naranja Valencia aprox. x 200 g                                  |  13    |     Devoto      |
|                                 Naranja Valencia aprox. x 200 g                                  |  13    |      Disco      |
|                                Naranja Valencia malla apro x 2 kg                                |  120   |     Devoto      |
|                                Naranja Valencia malla apro x 2 kg                                |  120   |      Disco      |
|                                      Naranjas para Jugo 3Kg                                      |  162   | Tienda Inglesa  |
|                             Nueces Pecan Peladas Mariposa pt. 100 g                              |  165   |     Devoto      |
|                             Nueces Pecan Peladas Mariposa pt. 100 g                              |  165   |      Disco      |
|                             Nueces Pecan Peladas Mariposa pt. 200 g                              |  295   |      Disco      |
|                                  Nueces Peladas Mariposa 200 g                                   |  229   |     Devoto      |
|                                   Nueces Peladas Mariposa bl.                                    |  990   |     Devoto      |
|                                   Nueces Peladas Mariposa bl.                                    |  990   |      Disco      |
|                                        Nueces con cascara                                        |  425   |     Devoto      |
|                           Nueces pecan acarameladas De la Tierra 100 g                           |  193   |      Disco      |
|                                 Nueces peladas Don Frutero 80 g                                  |  116   |     Devoto      |
|                                 Nueces peladas Don Frutero 80 g                                  |  116   |      Disco      |
|                                  Nueces peladas Rio de la Plata                                  |  179   |     Devoto      |
|                                  Nueces peladas Rio de la Plata                                  |  179   |      Disco      |
|                               Nueces peladas Rio de la Plata 200 g                               |  338   |      Disco      |
|                                  Nueces peladas mariposa 300 g                                   |  369   |     Devoto      |
|                                  Nueces peladas mariposa 300 g                                   |  369   |      Disco      |
|                                    Nuez de Macadamia por Kilo                                    | 1.920  | Tienda Inglesa  |
|                                    Oregano Fresco Campo Claro                                    |  79    |      Tata       |
|                                    Orejones de Damascos 200 g                                    |  109   |     Devoto      |
|                                    Orejones de damascos 300 g                                    |  159   |     Devoto      |
|                                 Orégano Envasado GRANJA MALLORCA                                 |  60    |     Devoto      |
|                                   Orégano Orgánico CAMPO CLARO                                   |  40    |      Disco      |
|                                    Orégano TOTORAL Seco 100g                                     |  134   | Tienda Inglesa  |
|                                     Orégano TOTORAL Seco 50g                                     |  94    | Tienda Inglesa  |
|                                     Palta Hass Chilena x un.                                     |  70    |     Devoto      |
|                                     Palta Hass Chilena x un.                                     |  70    |      Disco      |
|                                   Palta Hass Importada 1.00 U                                    |  59    |      Tata       |
|                                  Palta Hass Lista para Consumir                                  |  79    | Tienda Inglesa  |
|                               Palta Hass para consumir en 3-5 dias                               |  79    | Tienda Inglesa  |
|                                       Papa Blanca 1.00 Kg                                        |  79    |      Tata       |
|                                    Papa Blanca Importada 1 Kg                                    |  79    |      Tata       |
|                     Papa Blanca Malla x Kg (Peso Aprox. de la Malla 1,5kg.)                      |  87    | Tienda Inglesa  |
|                                    Papa Blanca a Granel (kg)                                     |  79    | Tienda Inglesa  |
|                                 Papa Blanca malla apro x 1,5 kg                                  |  105   |     Devoto      |
|                                 Papa Blanca malla apro x 1,5 kg                                  |  105   |      Disco      |
|                                     Papa Rosada Granel (Kg)                                      |  75    | Tienda Inglesa  |
|                     Papa Rosada Malla (Kg) Peso Aproximado de la Malla 1,5Kg                     |  81    | Tienda Inglesa  |
|                                     Papa Rosada Premium 1 Kg                                     |  100   |      Tata       |
|                             Papa Rosada Premium malla apro x 1,5 kg                              |  105   |     Devoto      |
|                             Papa Rosada Premium malla apro x 1,5 kg                              |  105   |      Disco      |
|                                     Papa Rosada X Kg 1.00 Kg                                     |  65    |      Tata       |
|                                 Papa Rosada malla apro x 1,5 kg                                  |  90    |      Disco      |
|                               Papa blanca importada aprox. x 200 g                               |  14    |      Disco      |
|                                 Papa para Parrillero por Unidad                                  |  26    | Tienda Inglesa  |
|                                   Papa pelada Club Verde 500 g                                   |  85    |     Devoto      |
|                                Papa rosada suelta aprox. x 225 g                                 |  13    |      Disco      |
|                                           Papaya 1 Kg                                            |  175   |      Tata       |
|                                  Papaya PINGAKOL en Trozos 200g                                  |  139   | Tienda Inglesa  |
|                                     Papin en bandeja x 1 kg                                      |  70    |     Devoto      |
|                                     Papin en bandeja x 1 kg                                      |  70    |      Disco      |
|                             Pasa de uva morena jumbo especial 300 g                              |  175   |     Devoto      |
|                             Pasa de uva morena jumbo especial 300 g                              |  175   |      Disco      |
|                                Pasas de Uva Morena Especial 150 g                                |  68    |     Devoto      |
|                                     Pasas de uva rubia 300 g                                     |  254   |     Devoto      |
|                                            Pelón (Kg)                                            |  138   | Tienda Inglesa  |
|                                   Pelón especial aprox x 130 g                                   |  13    |     Devoto      |
|                                       Pepinillo 200 gramos                                       |  32    | Tienda Inglesa  |
|                                           Pepino (Kg)                                            |  72    | Tienda Inglesa  |
|                                           Pepino 500Gr                                           |  24    |      Tata       |
|                                        Pepino Granel (Kg)                                        |  59    | Tienda Inglesa  |
|                                      Pepino aprox. x 250 g                                       |  12    |     Devoto      |
|                                      Pepino aprox. x 250 g                                       |  12    |      Disco      |
|                                       Pera Importada 1 Kg                                        |  99    |      Tata       |
|                                   Pera Williams Importada (kg)                                   |  159   | Tienda Inglesa  |
|                                 Pera Williams importada x 150 g                                  |  22    |     Devoto      |
|                                 Pera Williams importada x 150 g                                  |  22    |      Disco      |
|                                   Pera packams importada (kg)                                    |  109   | Tienda Inglesa  |
|                                             Perejil                                              |  23    |     Devoto      |
|                                             Perejil                                              |  23    |      Disco      |
|                                       Perejil Atado 1.00 U                                       |  22    |      Tata       |
|                                        Perejil En Maceta                                         |  59    |      Tata       |
|                                 Perejil Orgánico PUNTO VERDE 80g                                 |  35    | Tienda Inglesa  |
|                                    Perejil Seco TOTORAL  15g                                     |  54    | Tienda Inglesa  |
|                                   Perejil TIENDA INGLESA  80g                                    |  26    | Tienda Inglesa  |
|                                       Pimentón TOTORAL 50g                                       |  70    | Tienda Inglesa  |
|                                Pimienta Blanca Molida TOTORAL 25g                                |  111   | Tienda Inglesa  |
|                                Pimienta Negra Molida TOTORAL 25g                                 |  90    | Tienda Inglesa  |
|                            Pipas Horneadas en Salsa de Soja pt. 150 g                            |  99    |     Devoto      |
|                               Pipas horneadas en salsa soja 300 g                                |  189   |     Devoto      |
|                                   Pistacho salado ÜLTJE 150 g                                    |  362   |     Devoto      |
|                                   Pistacho salado ÜLTJE 150 g                                    |  362   |      Disco      |
|                                 Pistachos tostados salados 130 g                                 |  209   |     Devoto      |
|                         Pistachos tostados y salados LA ABUNDANCIA 100 g                         |  202   |     Devoto      |
|                         Pistachos tostados y salados LA ABUNDANCIA 100 g                         |  202   |      Disco      |
|                                      Piña Dole apro x 2 kg                                       |  240   |     Devoto      |
|                                      Piña Dole apro x 2 kg                                       |  240   |      Disco      |
|                                          Piña Gold (Kg)                                          |  98    | Tienda Inglesa  |
|                                         Piña apro x 2 kg                                         |  220   |     Devoto      |
|                                         Piña apro x 2 kg                                         |  220   |      Disco      |
|                                     Piñones importados 100 g                                     |  389   |     Devoto      |
|                                           Plátano 1 Kg                                           |  189   |      Tata       |
|                           Plátano Peso Aproximado de Unidad 300g (Kg)                            |  189   | Tienda Inglesa  |
|                                      Plátano aprox. x 200 g                                      |  36    |     Devoto      |
|                                      Plátano aprox. x 200 g                                      |  36    |      Disco      |
|                                   Pomelo Rosado Importado (Kg)                                   |  158   | Tienda Inglesa  |
|                                   Pomelo blanco aprox. x 300 g                                   |  12    |     Devoto      |
|                                   Pomelo blanco aprox. x 300 g                                   |  12    |      Disco      |
|                               Pomelo rojo importado aprox. x 300 g                               |  43    |     Devoto      |
|                               Pomelo rojo importado aprox. x 300 g                               |  43    |      Disco      |
|                                        Power Kale 160 grs                                        |  136   | Tienda Inglesa  |
|                                       Puchero RODYVELL 1Kg                                       |  159   | Tienda Inglesa  |
|                                        Puerro Atado 2 un.                                        |  30    |     Devoto      |
|                                        Puerro Atado 2 un.                                        |  30    |      Disco      |
|                                       Puerro Atado 2.00 U                                        |  39    |      Tata       |
|                                        Puerro por Unidad                                         |  18    | Tienda Inglesa  |
|                                       Puerro x 2 orgánico                                        |  35    |     Devoto      |
|                                       Puerro x 2 orgánico                                        |  35    |      Disco      |
|                                           Quinoa 200 g                                           |  105   |     Devoto      |
|                                       Quínoa ARDO bl. 1 kg                                       |  378   |     Devoto      |
|                                       Quínoa ARDO bl. 1 kg                                       |  378   |      Disco      |
|                                             Rabanito                                             |  40    |     Devoto      |
|                                        Rabanito orgánico                                         |  50    |     Devoto      |
|                             Rabanitos Envasados Aproximadamente 250g                             |  67    | Tienda Inglesa  |
|                           Radicheta Envasada Nuestra Quinta bl. 100 g                            |  55    |     Devoto      |
|                                          Remolacha (Kg)                                          |  74    | Tienda Inglesa  |
|                                         Remolacha Atado                                          |  50    |     Devoto      |
|                                         Remolacha Atado                                          |  50    |      Disco      |
|                                      Remolacha Atado 1.00 U                                      |  45    |      Tata       |
|                            Remolacha Cocida Orgánica HUERCASA 500 grs                            |  158   | Tienda Inglesa  |
|                                     Remolacha Envasada (Kg)                                      |  76    | Tienda Inglesa  |
|                                  Remolacha Pelada y Cocida 500g                                  |  120   | Tienda Inglesa  |
|                                Remolacha entera Club Verde 250 g                                 |  85    |     Devoto      |
|                                Remolacha entera Club Verde 250 g                                 |  85    |      Disco      |
|                                Remolacha rallada Club Verde 250 g                                |  70    |      Disco      |
|                            Repollo Blanco (Kg) Peso Aproximado 1,2 Kg                            |  48    | Tienda Inglesa  |
|                                       Repollo Blanco 1 Kg                                        |  39    |      Tata       |
|                               Repollo Blanco Cortado RODYVELL 150g                               |  39    | Tienda Inglesa  |
|                             Repollo Blanco Orgánico PUNTO VERDE (Kg)                             |  48    | Tienda Inglesa  |
|                                   Repollo Blanco apro x 1,5 kg                                   |  60    |     Devoto      |
|                                   Repollo Blanco apro x 1,5 kg                                   |  60    |      Disco      |
|                              Repollo Morado Cortado RODYVELL  150g                               |  39    | Tienda Inglesa  |
|                                 Repollo blanco Club Verde 150 g                                  |  47    |      Disco      |
|                              Repollo blanco orgánico mitad x 650 g                               |  29    |     Devoto      |
|                                  Repollo colorado apro x 900 g                                   |  45    |     Devoto      |
|                                  Repollo colorado apro x 900 g                                   |  45    |      Disco      |
|                                   Repollo mix Club Verde 150 g                                   |  47    |     Devoto      |
|                                   Repollo mix Club Verde 150 g                                   |  47    |      Disco      |
|                                 Repollo morado Club Verde 150 g                                  |  47    |     Devoto      |
|                                 Repollo morado Club Verde 150 g                                  |  47    |      Disco      |
|                                     Repollo orgánico x 900 g                                     |  36    |      Disco      |
|                             Romero FINAS HIERBAS de Invernáculo 30g                              |  61    | Tienda Inglesa  |
|                                    Romero Fresco Campo Claro                                     |  79    |      Tata       |
|                                      Romero Fresco Orgánico                                      |  61    | Tienda Inglesa  |
|                                   Romero Nuestra Quinta 30  g                                    |  50    |     Devoto      |
|                                     Romero TOTORAL Seco 10g                                      |  61    | Tienda Inglesa  |
|                                     Romero maceta Hidrofarm                                      |  70    |     Devoto      |
|                                         Rúcula Envasada                                          |  35    |     Devoto      |
|                                   Rúcula GRANJA MALLORCA 100g                                    |  68    | Tienda Inglesa  |
|                            Rúcula GRANJA MALLORCA Triple Lavado 100g                             |  99    | Tienda Inglesa  |
|                                      Rúcula HIDROFARM 100g                                       |  76    | Tienda Inglesa  |
|                                 Rúcula Hidropónica BAKAR 100  g                                  |  80    |     Devoto      |
|                                Rúcula Hidropónica Envasada 100 g                                 |  70    |      Disco      |
|                                 Rúcula PUNTO VERDE Orgánica 50g                                  |  54    | Tienda Inglesa  |
|                         Rúcula pronta para consumo Granja Mallorca 100 g                         |  90    |      Disco      |
|                                     Salvia Finas Hierbas 20g                                     |  61    | Tienda Inglesa  |
|                                    Salvia Fresca Campo Claro                                     |  75    |      Tata       |
|                                    Salvia Orgánica CampoClaro                                    |  40    |      Disco      |
|                                      Sandia Importada (Kg)                                       |  64    | Tienda Inglesa  |
|                              Sandia KG mínimo de compra 1/4 2.5 KG                               |  49    | Tienda Inglesa  |
|                                    Sandia baby apro x 2,5 kg                                     |  85    |     Devoto      |
|                                    Sandia baby apro x 2,5 kg                                     |  85    |      Disco      |
|                                         Sandia baby(kg)                                          |  72    | Tienda Inglesa  |
|                                      Sandía aprox.8 x 8 kg                                       |  319   |     Devoto      |
|                                      Sandía aprox.8 x 8 kg                                       |  319   |      Disco      |
|                                Selección de Hojas INSPIRADA 170g                                 |  149   | Tienda Inglesa  |
|                                Selección de Hojas Inspirada 100gr                                |  99    | Tienda Inglesa  |
|                                Selección de hojas inspirada 100 g                                |  100   |     Devoto      |
|                                Selección de hojas inspirada 100 g                                |  100   |      Disco      |
|                                Selección de hojas inspirada 170 g                                |  150   |     Devoto      |
|                                Selección de hojas inspirada 170 g                                |  150   |      Disco      |
|                            Semilla de zapallos tostadas sin sal 150 g                            |  175   |     Devoto      |
|                                    Semillas de Chia pt. 150 g                                    |  55    |     Devoto      |
|                                    Semillas de Chia pt. 150 g                                    |  55    |      Disco      |
|                          Sopa Liviana en Juliana  RODYVELL Granja 400g                           |  60    | Tienda Inglesa  |
|                               Sopa en Juliana RODYVELL Granja 400g                               |  60    | Tienda Inglesa  |
|                                   Sopa juliana Club Verde 400g                                   |  55    |     Devoto      |
|                                  Sopa liviana Club Verde 400 g                                   |  65    |     Devoto      |
|                                      Sésamo Integral 150 g                                       |  65    |     Devoto      |
|                                      Sésamo Integral 150 g                                       |  65    |      Disco      |
|                                        Sésamo TOTORAL 20g                                        |  53    | Tienda Inglesa  |
|                                       Tallos de Apio 350gr                                       |  99    | Tienda Inglesa  |
|                                      Tomate Americano (Kg)                                       |  78    | Tienda Inglesa  |
|                                  Tomate Americano Envasado (Kg)                                  |  96    | Tienda Inglesa  |
|                                 Tomate Americano aprox. x 200 g                                  |  14    |     Devoto      |
|                                 Tomate Americano aprox. x 200 g                                  |  14    |      Disco      |
|                                Tomate Cherry TIENDA INGLESA 500gr                                |  99    | Tienda Inglesa  |
|                                   Tomate Cherry aprox. x 30 g                                    |   3    |     Devoto      |
|                                   Tomate Cherry aprox. x 30 g                                    |   3    |      Disco      |
|                                Tomate Envasado 6 un. apro x 800 g                                |  56    |     Devoto      |
|                                Tomate Envasado 6 un. apro x 800 g                                |  56    |      Disco      |
|                           Tomate Orgánico Americano PUNTO VERDE 900Gr                            |  105   | Tienda Inglesa  |
|                             Tomate Orgánico Cherry PUNTO VERDE  500g                             |  99    | Tienda Inglesa  |
|                         Tomate Orgánico Cocktail Tigre PUNTO VERDE 500g                          |  99    | Tienda Inglesa  |
|                                   Tomate Orgánico Perita 700g                                    |  112   | Tienda Inglesa  |
|                                   Tomate Orgánico Tomito 900g                                    |  93    | Tienda Inglesa  |
|                                   Tomate Perita aprox. x 100 g                                   |   8    |     Devoto      |
|                                   Tomate Perita aprox. x 100 g                                   |   8    |      Disco      |
|                                     Tomate Super Cherry 300g                                     |  163   | Tienda Inglesa  |
|                                        Tomate Tomito (Kg)                                        |  93    | Tienda Inglesa  |
|                                       Tomate X Kg 1.00 Kg                                        |  55    |      Tata       |
|                                  Tomate cherry orgánico x 500 g                                  |  100   |     Devoto      |
|                                    Tomate cherry pecan 500gr                                     |  99    | Tienda Inglesa  |
|                  Tomate perita envasado (kg) (peso aproximado de bandeja 800g.)                  |  104   | Tienda Inglesa  |
|                                        Tomates Secos 80 g                                        |  169   |     Devoto      |
|                             Tomates hidropónicos cherry perita 500 g                             |  80    |     Devoto      |
|                             Tomates hidropónicos cherry perita 500 g                             |  80    |      Disco      |
|                                    Tomillo Fresco Campo Claro                                    |  79    |      Tata       |
|                                          Tomillo maceta                                          |  60    |     Devoto      |
|                                       Uva Italia Importada                                       |  235   | Tienda Inglesa  |
|                                       Uva Red Globe 250 Gr                                       |  62    |      Tata       |
|                                      Uva negra gota de miel                                      |  255   | Tienda Inglesa  |
|                                   Vegetales Grillados Ardo 1Kg                                   |  414   | Tienda Inglesa  |
|                                 Verduras al wok Club Verde 400 g                                 |  140   |     Devoto      |
|                                        Zanahoria 1.00 Kg                                         |  34    |      Tata       |
|                                      Zanahoria Bolsa 500 Gr                                      |  27    |      Tata       |
|                                      Zanahoria Bolsita 1Kg                                       |  35    |     Devoto      |
|                                      Zanahoria Bolsita 1Kg                                       |  35    |      Disco      |
|                              Zanahoria Mediana TIENDA INGLESA 800g                               |  42    | Tienda Inglesa  |
|                                 Zanahoria Pequeña DON JOSÉ  400g                                 |  34    | Tienda Inglesa  |
|                                 Zanahoria RODYVELL Rallada 250g                                  |  49    | Tienda Inglesa  |
|                                     Zanahoria aprox. x 100 g                                     |   4    |     Devoto      |
|                                     Zanahoria aprox. x 100 g                                     |   4    |      Disco      |
|                                 Zanahoria baby orgánica x 500 g                                  |  17    |     Devoto      |
|                                 Zanahoria en bandeja aprox 1 kg                                  |  35    |     Devoto      |
|                               Zanahoria en cubos Club Verde 500 g                                |  90    |     Devoto      |
|                               Zanahoria en cubos Club Verde 500 g                                |  90    |      Disco      |
|                                Zanahoria entera Club Verde 500 g                                 |  75    |     Devoto      |
|                                Zanahoria entera Club Verde 500 g                                 |  75    |      Disco      |
|                                Zanahoria rallada Club Verde 250 g                                |  40    |      Disco      |
|                                   Zanahoria x 2 Unidades (Kg)                                    |  61    | Tienda Inglesa  |
|                                     Zanahorias MI CHACRA 1Kg                                     |  42    | Tienda Inglesa  |
|                                          Zapallito (Kg)                                          |  46    | Tienda Inglesa  |
|                                        Zapallito 1.00 Kg                                         |  35    |      Tata       |
|                                      Zapallito Granel (Kg)                                       |  32    | Tienda Inglesa  |
|                                     Zapallito aprox. x 250 g                                     |   8    |     Devoto      |
|                                     Zapallito aprox. x 250 g                                     |   8    |      Disco      |
